1	0
1	1 0
2	2 0
1	1 2 0
1	3 0
2	1 3 0
1	2 3 0
1	1 2 3 0
3	4 0
4	1 4 0
3	2 4 0
1	1 2 4 0
3	3 4 0
3	1 3 4 0
4	2 3 4 0
1	1 2 3 4 0
4	5 0
3	1 5 0
3	2 5 0
3	1 2 5 0
1	3 5 0
3	1 3 5 0
1	2 3 5 0
4	1 2 3 5 0
3	4 5 0
3	1 4 5 0
3	2 4 5 0
2	1 2 4 5 0
2	3 4 5 0
3	1 3 4 5 0
1	2 3 4 5 0
1	1 2 3 4 5 0
1	6 0
1	1 6 0
3	2 6 0
4	1 2 6 0
4	3 6 0
3	1 3 6 0
3	2 3 6 0
3	1 2 3 6 0
2	4 6 0
1	1 4 6 0
3	2 4 6 0
1	1 2 4 6 0
3	3 4 6 0
3	1 3 4 6 0
3	2 3 4 6 0
2	1 2 3 4 6 0
1	5 6 0
2	1 5 6 0
3	2 5 6 0
3	1 2 5 6 0
1	3 5 6 0
3	1 3 5 6 0
2	2 3 5 6 0
3	1 2 3 5 6 0
1	4 5 6 0
1	1 4 5 6 0
4	2 4 5 6 0
1	1 2 4 5 6 0
1	3 4 5 6 0
4	1 3 4 5 6 0
1	2 3 4 5 6 0
1	1 2 3 4 5 6 0
5	7 0
6	1 7 0
7	2 7 0
8	1 2 7 0
5	3 7 0
7	1 3 7 0
6	2 3 7 0
8	1 2 3 7 0
9	4 7 0
6	1 4 7 0
5	2 4 7 0
1	1 2 4 7 0
9	3 4 7 0
5	1 3 4 7 0
6	2 3 4 7 0
1	1 2 3 4 7 0
10	5 7 0
11	1 5 7 0
11	2 5 7 0
7	1 2 5 7 0
5	3 5 7 0
9	1 3 5 7 0
6	2 3 5 7 0
6	1 2 3 5 7 0
11	4 5 7 0
7	1 4 5 7 0
7	2 4 5 7 0
2	1 2 4 5 7 0
7	3 4 5 7 0
5	1 3 4 5 7 0
8	2 3 4 5 7 0
1	1 2 3 4 5 7 0
5	6 7 0
6	1 6 7 0
9	2 6 7 0
6	1 2 6 7 0
10	3 6 7 0
11	1 3 6 7 0
11	2 3 6 7 0
7	1 2 3 6 7 0
7	4 6 7 0
8	1 4 6 7 0
5	2 4 6 7 0
1	1 2 4 6 7 0
11	3 4 6 7 0
7	1 3 4 6 7 0
7	2 3 4 6 7 0
2	1 2 3 4 6 7 0
5	5 6 7 0
7	1 5 6 7 0
9	2 5 6 7 0
5	1 2 5 6 7 0
5	3 5 6 7 0
9	1 3 5 6 7 0
7	2 3 5 6 7 0
5	1 2 3 5 6 7 0
6	4 5 6 7 0
8	1 4 5 6 7 0
6	2 4 5 6 7 0
1	1 2 4 5 6 7 0
6	3 4 5 6 7 0
6	1 3 4 5 6 7 0
8	2 3 4 5 6 7 0
1	1 2 3 4 5 6 7 0
6	8 0
5	1 8 0
7	2 8 0
5	1 2 8 0
8	3 8 0
7	1 3 8 0
8	2 3 8 0
6	1 2 3 8 0
11	4 8 0
10	1 4 8 0
9	2 4 8 0
5	1 2 4 8 0
7	3 4 8 0
11	1 3 4 8 0
6	2 3 4 8 0
6	1 2 3 4 8 0
6	5 8 0
9	1 5 8 0
5	2 5 8 0
9	1 2 5 8 0
1	3 5 8 0
5	1 3 5 8 0
1	2 3 5 8 0
6	1 2 3 5 8 0
7	4 5 8 0
11	1 4 5 8 0
5	2 4 5 8 0
7	1 2 4 5 8 0
2	3 4 5 8 0
7	1 3 4 5 8 0
1	2 3 4 5 8 0
8	1 2 3 4 5 8 0
6	6 8 0
5	1 6 8 0
11	2 6 8 0
10	1 2 6 8 0
6	3 6 8 0
9	1 3 6 8 0
7	2 3 6 8 0
11	1 2 3 6 8 0
7	4 6 8 0
5	1 4 6 8 0
9	2 4 6 8 0
5	1 2 4 6 8 0
5	3 4 6 8 0
9	1 3 4 6 8 0
5	2 3 4 6 8 0
7	1 2 3 4 6 8 0
8	5 6 8 0
7	1 5 6 8 0
7	2 5 6 8 0
11	1 2 5 6 8 0
1	3 5 6 8 0
5	1 3 5 6 8 0
2	2 3 5 6 8 0
7	1 2 3 5 6 8 0
8	4 5 6 8 0
6	1 4 5 6 8 0
6	2 4 5 6 8 0
6	1 2 4 5 6 8 0
1	3 4 5 6 8 0
6	1 3 4 5 6 8 0
1	2 3 4 5 6 8 0
8	1 2 3 4 5 6 8 0
9	7 8 0
9	1 7 8 0
11	2 7 8 0
7	1 2 7 8 0
7	3 7 8 0
11	1 3 7 8 0
6	2 3 7 8 0
6	1 2 3 7 8 0
12	4 7 8 0
11	1 4 7 8 0
9	2 4 7 8 0
3	1 2 4 7 8 0
11	3 4 7 8 0
10	1 3 4 7 8 0
6	2 3 4 7 8 0
4	1 2 3 4 7 8 0
11	5 7 8 0
12	1 5 7 8 0
10	2 5 7 8 0
11	1 2 5 7 8 0
3	3 5 7 8 0
